小学校,中学校,区名,町名,区域,備考
青葉小,青葉中,東区,青葉,1丁目～7丁目,
青葉小,青葉中,東区,みどりが丘,1丁目～3丁目,
赤坂小,警固中,中央区,城内,1番～10番（11番は草ヶ江小),
赤坂小,警固中,中央区,赤坂,1丁目～3丁目,
赤坂小,警固中,中央区,大手門,1丁目,
赤坂小,警固中,中央区,桜坂,1丁目、2丁目、3丁目5番～13番（ただし、5番(60号)を除く…平尾小）,
愛宕小,姪浜中,西区,愛宕,1丁目～4丁目,
愛宕小,姪浜中,西区,愛宕浜,2丁目1番、2番,
愛宕小,姪浜中,西区,豊浜,1丁目～3丁目,
愛宕浜小,姪浜中,西区,愛宕浜,1丁目～4丁目（ただし、2丁目1番、2番を除く…愛宕小）,
愛宕浜小,姪浜中,西区,姪の浜,2丁目22番、3丁目32番(11号、16号)、38番～48番,
有住小,西福岡中,早良区,有田,7丁目,
有住小,西福岡中,早良区,室住団地,全域,
有田小,次郎丸中,早良区,次郎丸,1丁目、2丁目、3丁目1番～28番、4丁目1番～9番、10番(1号～20号、49号、50号、52号～55号)、11番～13番、14番(18号)、15番(5号、40号～43号)、18番(1号～6号、10号～12号、46号、48号、50号～54号、56号)、5丁目1番～10番、11番(ただし、38号～50号を除く…田村小)、12番～14番、6丁目,
有田小,次郎丸中,早良区,有田団地,全域,
有田小,次郎丸中,早良区,有田,6丁目、8丁目,
飯倉小,原中,早良区,飯倉,5丁目～7丁目,
飯倉小,原中,早良区,星の原団地,1番～12番、53番～55番、80番、81番,
飯倉小,原中,早良区,干隈,3丁目～6丁目（1丁目、2丁目は城南区）,
飯倉中央小,原中,早良区,飯倉,2丁目、3丁目,
飯原小,原中,早良区,飯倉,4丁目、8丁目,
飯原小,原中,早良区,原,6丁目、7丁目,
壱岐小,壱岐中,西区,拾六町団地,全域,
壱岐小,壱岐中,西区,大字野方,891（2）,
壱岐小,壱岐中,西区,野方,1丁目、5丁目1番、2番、3番、8番、6丁目、7丁目,
壱岐小,壱岐中,西区,生松台,1丁目～3丁目,
壱岐小,壱岐中,西区,西の丘,1丁目～3丁目,
壱岐小,壱岐中,西区,拾六町,1丁目～4丁目(ただし、2丁目16番(壱岐中校地)を除く･･･壱岐東小),
壱岐東小,壱岐中,西区,拾六町,2丁目16番(壱岐中校地),
壱岐東小,壱岐中,西区,壱岐団地,1番～93番,
壱岐東小,壱岐中,西区,橋本,1丁目14番(壱岐東小校地),
壱岐南小,壱岐丘中,西区,大字野方,1096(3)、1098(130)、1097(2),
壱岐南小,壱岐丘中,西区,大字羽根戸,725(1)～752(10),
壱岐南小,壱岐丘中,西区,壱岐団地,100番～終,
壱岐南小,壱岐丘中,西区,野方,2丁目～4丁目、5丁目4番～7番、9番～64番,
壱岐南小,壱岐丘中,西区,橋本,1丁目、2丁目（ただし、1丁目14番（壱岐東小校地）を除く･･･壱岐東小）,
壱岐南小,壱岐丘中,西区,大字橋本,全域,
壱岐南小,壱岐丘中,西区,戸切,1丁目、2丁目、3丁目1番～33番、35番、38番,
石丸小,下山門中,西区,大町団地,全域,
石丸小,下山門中,西区,十郎川団地,全域,
石丸小,下山門中,西区,石丸,1丁目～4丁目,
板付小,板付中,博多区,諸岡,1丁目21番～27番、2丁目,
板付小,板付中,博多区,板付,6丁目、7丁目（ただし、7丁目1番を除く…板付北小）,
板付小,板付中,博多区,西月隈,6丁目7番,
板付小,板付中,博多区,東雲町,1丁目～4丁目,
板付小,板付中,博多区,井相田,1丁目～3丁目,
板付小,板付中,博多区,麦野,1丁目～6丁目,
板付北小,板付中,博多区,板付,1丁目、2丁目、3丁目8番(板付団地を除く)、14番(板付団地を除く)、15番～26番、4丁目、5丁目、7丁目1番,
