学区,市区町村,中学校,備考
第４学区,博多区,千代中,
第４学区,博多区,吉塚中,
第４学区,博多区,博多中,
第４学区,東区,青葉中,
第４学区,東区,香椎第２中,
第４学区,東区,香椎第３中,
第４学区,東区,城香中,
第４学区,東区,志賀中,
第４学区,東区,香椎第１中,
第４学区,東区,多々良中央中,
第４学区,東区,照葉中,
第４学区,東区,松崎中,
第４学区,東区,和白中,
第４学区,東区,箱崎中,
第４学区,東区,箱崎清松中,
第４学区,東区,福岡中,
第４学区,東区,多々良中,
第４学区,東区,和白丘中,
第５学区,南区,春吉中,
第５学区,南区,高宮中,
第５学区,南区,三宅中,
第５学区,南区,筑紫丘中,
第５学区,南区,曰佐中,
第５学区,南区,老司中,
第５学区,南区,宮竹中,
第５学区,南区,横手中,
第５学区,南区,野間中,
第５学区,博多区,東光中,
第５学区,博多区,東住吉中,
第５学区,博多区,住吉中   ,
第５学区,博多区,板付中,
第５学区,博多区,三筑中,
第５学区,博多区,那珂中,
第５学区,博多区,席田中,
第５学区,中央区,平尾中,
第５学区,中央区,春吉中,
第５学区,中央区,高宮中,
第５学区,南区,花畑中,※花畑中校区のうち福岡市南区野多目五丁目２番３１号の地域及び野多目西公園は除く
第５学区,南区,柏原中,
第５学区,南区,長丘中,※第５学区の地域と６学区の地域がある
第６学区,中央区,舞鶴中,
第６学区,中央区,警固中,
第６学区,中央区,当仁中,
第６学区,中央区,城西中,
第６学区,中央区,友泉中,
第６学区,南区,長丘中,※第５学区の地域と６学区の地域がある
第６学区,早良区,西福岡中,
第６学区,早良区,次郎丸中,
第６学区,早良区,原中,
第６学区,早良区,金武中,
第６学区,早良区,早良中,
第６学区,早良区,原中央中,
第６学区,早良区,原北中,
第６学区,早良区,高取中,
第６学区,早良区,田隈中,
第６学区,早良区,梅林中,
第６学区,早良区,百道中,
第６学区,城南区,片江中,
第６学区,城南区,梅林中,
第６学区,城南区,友泉中,
第６学区,城南区,城南中,
第６学区,城南区,長尾中,
第６学区,城南区,城西中,
第６学区,西区,姪浜中,
第６学区,西区,壱岐中,
第６学区,西区,壱岐丘中,
第６学区,西区,下山門中,
第６学区,西区,玄洋中,
第６学区,西区,内浜中,
第６学区,西区,小呂中,
第６学区,西区,金武中,
第６学区,西区,北崎中,
第６学区,西区,玄界中,
第６学区,西区,元岡中,
第６学区,西区,西陵中,
第６学区,西区,能古中,
第６学区,西区,姪浜中,
